"","vote_2020","gender","education","state","household_income","race_ethnicity","census_region","employment","vote_intention","registration","age_group"
"1086","0","Female","Completed some college, but no degree","NJ","$35,000 to $39,999","Black, or African American","Northeast","Employed","Yes, I will vote","Registered","ages45to59"
"1087","1","Male","Completed some college, but no degree","UT","Less than $14,999","White","West","Employed","Yes, I will vote","Registered","ages30to44"
"1088","0","Male","Completed some high school","CA","Less than $14,999","White","West","Not in labor force","Yes, I will vote","Registered","ages18to29"
"1089","1","Male","High school graduate","CA","$30,000 to $34,999","White","West","Not in labor force","Yes, I will vote","Registered","ages45to59"
"1090","1","Male","Other post high school vocational training","TN","$100,000 to $124,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"1091","1","Male","High school graduate","KY","$55,000 to $59,999","White","South","Employed","Yes, I will vote","Registered","ages60plus"
"1092","1","Female","Completed some college, but no degree","CA","$45,000 to $49,999","White","West","Employed","Yes, I will vote","Registered","ages30to44"
"1093","0","Male","Completed some college, but no degree","TX","$100,000 to $124,999","Black, or African American","South","Employed","Yes, I will vote","Registered","ages45to59"
"1094","0","Male","Other post high school vocational training","IL","$50,000 to $54,999","White","Midwest","Employed","Yes, I will vote","Registered","ages30to44"
"1095","1","Male","Masters degree","NY","$200,000 to $249,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"1096","1","Male","Completed some college, but no degree","NV","$45,000 to $49,999","White","West","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1097","1","Male","Completed some college, but no degree","ID","Less than $14,999","White","West","Not in labor force","Yes, I will vote","Registered","ages45to59"
"1098","1","Male","College Degree (such as B.A., B.S.)","GA","$80,000 to $84,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"1099","0","Female","Completed some high school","GA","$70,000 to $74,999","Black, or African American","South","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages30to44"
"1100","1","Male","Completed some college, but no degree","CO","$40,000 to $44,999","White","West","Employed","Yes, I will vote","Registered","ages45to59"
"1101","1","Female","Completed some high school","OR","$30,000 to $34,999","White","West","Employed","Yes, I will vote","Registered","ages45to59"
"1102","1","Female","Associate Degree","WA","$85,000 to $89,999","American Indian or Alaska Native","West","Employed","Yes, I will vote","Registered","ages60plus"
"1103","0","Male","Completed some college, but no degree","ID","$75,000 to $79,999","White","West","Employed","Yes, I will vote","Registered","ages60plus"
"1104","0","Male","Masters degree","CA","$250,000 and above","White","West","Employed","Yes, I will vote","Registered","ages45to59"
"1105","0","Female","Completed some high school","NY","$75,000 to $79,999","Other","Northeast","Employed","Yes, I will vote","Registered","ages18to29"
"1106","0","Male","Other post high school vocational training","MI","$20,000 to $24,999","Black, or African American","Midwest","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1107","1","Male","College Degree (such as B.A., B.S.)","FL","$100,000 to $124,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"1108","1","Male","Associate Degree","CO","$30,000 to $34,999","White","West","Employed","Yes, I will vote","Registered","ages18to29"
"1109","1","Male","Completed some high school","LA","Less than $14,999","White","South","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages30to44"
"1110","0","Female","Completed some college, but no degree","TX","$30,000 to $34,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"1111","0","Male","Completed some college, but no degree","FL","$40,000 to $44,999","White","South","Employed","Yes, I will vote","Registered","ages18to29"
"1112","0","Female","Masters degree","AZ","$150,000 to $174,999","Other asian or pacific islander","West","Employed","Yes, I will vote","Registered","ages30to44"
"1113","0","Male","Completed some college, but no degree","WA","$70,000 to $74,999","White","West","Not in labor force","Yes, I will vote","Registered","ages30to44"
"1114","1","Male","College Degree (such as B.A., B.S.)","NY","$100,000 to $124,999","White","Northeast","Employed","Yes, I will vote","Registered","ages18to29"
"1115","1","Male","Masters degree","FL","$45,000 to $49,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"1116","1","Female","Completed some high school","MS","Less than $14,999","White","South","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages18to29"
"1117","0","Female","High school graduate","NC","$50,000 to $54,999","Black, or African American","South","Employed","Not sure","Registered","ages45to59"
"1118","1","Female","High school graduate","TX","$15,000 to $19,999","White","South","Not in labor force","Yes, I will vote","Registered","ages45to59"
"1119","1","Female","High school graduate","VA","$15,000 to $19,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"1120","0","Female","Completed some college, but no degree","WI","Less than $14,999","White","Midwest","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages18to29"
"1121","1","Male","High school graduate","NC","$45,000 to $49,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"1122","0","Female","Completed some college, but no degree","TX","$45,000 to $49,999","White","South","Employed","Yes, I will vote","Registered","ages60plus"
"1123","0","Female","Other post high school vocational training","NC","$35,000 to $39,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"1124","1","Female","Associate Degree","OH","$25,000 to $29,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1125","0","Male","Completed some college, but no degree","UT","$35,000 to $39,999","White","West","Employed","Yes, I will vote","Registered","ages18to29"
"1126","0","Female","High school graduate","TX","Less than $14,999","White","South","Employed","Yes, I will vote","Registered","ages18to29"
"1127","1","Female","Masters degree","CA","$100,000 to $124,999","White","West","Employed","Yes, I will vote","Registered","ages60plus"
"1128","1","Male","Completed some college, but no degree","TX","$50,000 to $54,999","Other","South","Employed","Yes, I will vote","Registered","ages30to44"
"1129","0","Male","College Degree (such as B.A., B.S.)","SC","$45,000 to $49,999","Black, or African American","South","Employed","Yes, I will vote","Registered","ages30to44"
"1130","1","Male","High school graduate","IA","$85,000 to $89,999","White","Midwest","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages30to44"
"1131","1","Male","Completed some college, but no degree","FL","$55,000 to $59,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1132","1","Male","Other post high school vocational training","PA","$45,000 to $49,999","White","Northeast","Employed","Yes, I will vote","Registered","ages60plus"
"1133","1","Female","College Degree (such as B.A., B.S.)","LA","$15,000 to $19,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"1134","0","Male","Completed some college, but no degree","CA","$35,000 to $39,999","Other","West","Employed","Yes, I will vote","Registered","ages30to44"
"1135","1","Female","Other post high school vocational training","MN","$80,000 to $84,999","White","Midwest","Employed","Yes, I will vote","Registered","ages45to59"
"1136","0","Male","Completed some college, but no degree","KY","Less than $14,999","White","South","Not in labor force","Yes, I will vote","Registered","ages45to59"
"1137","1","Male","Masters degree","MA","Less than $14,999","White","Northeast","Employed","Yes, I will vote","Registered","ages45to59"
"1138","1","Male","College Degree (such as B.A., B.S.)","TX","$40,000 to $44,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"1139","1","Male","College Degree (such as B.A., B.S.)","PA","$150,000 to $174,999","Other","Northeast","Employed","Yes, I will vote","Registered","ages45to59"
"1140","0","Male","College Degree (such as B.A., B.S.)","SC","$30,000 to $34,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"1141","1","Male","Completed some graduate, but no degree","NY","$200,000 to $249,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"1142","0","Male","Masters degree","WA","$125,000 to $149,999","White","West","Employed","Yes, I will vote","Registered","ages30to44"
"1143","0","Male","Completed some high school","NY","$15,000 to $19,999","Black, or African American","Northeast","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1144","0","Male","College Degree (such as B.A., B.S.)","CT","$85,000 to $89,999","White","Northeast","Employed","Yes, I will vote","Registered","ages60plus"
"1145","1","Male","Completed some college, but no degree","IL","$150,000 to $174,999","White","Midwest","Employed","Yes, I will vote","Registered","ages60plus"
"1146","0","Male","College Degree (such as B.A., B.S.)","VA","$100,000 to $124,999","White","South","Employed","Yes, I will vote","Registered","ages60plus"
"1147","0","Male","Masters degree","OH","$175,000 to $199,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages45to59"
"1148","0","Female","Masters degree","MD","$40,000 to $44,999","Black, or African American","South","Employed","Yes, I will vote","Registered","ages45to59"
"1149","1","Male","Masters degree","TX","$200,000 to $249,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"1150","1","Male","Completed some college, but no degree","AZ","$100,000 to $124,999","White","West","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages45to59"
"1151","1","Male","Completed some college, but no degree","PA","$75,000 to $79,999","White","Northeast","Employed","Yes, I will vote","Registered","ages45to59"
"1152","0","Male","College Degree (such as B.A., B.S.)","TN","$100,000 to $124,999","Other","South","Employed","Yes, I will vote","Registered","ages30to44"
"1153","0","Male","Completed some high school","NY","$45,000 to $49,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"1154","1","Female","High school graduate","WV","$20,000 to $24,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"1155","0","Male","Associate Degree","OH","$100,000 to $124,999","Other","Midwest","Not in labor force","Yes, I will vote","Registered","ages18to29"
"1156","0","Female","Completed some college, but no degree","NC","$40,000 to $44,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1157","0","Female","Completed some college, but no degree","PA","$35,000 to $39,999","White","Northeast","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1158","1","Female","Completed some college, but no degree","MI","Less than $14,999","White","Midwest","Employed","Yes, I will vote","Registered","ages45to59"
"1159","0","Female","Doctorate degree","NC","$90,000 to $94,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"1160","0","Female","Masters degree","TN","$100,000 to $124,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"1161","0","Male","Masters degree","FL","$175,000 to $199,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"1162","1","Female","High school graduate","PA","$35,000 to $39,999","White","Northeast","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1163","1","Male","College Degree (such as B.A., B.S.)","OH","$100,000 to $124,999","White","Midwest","Employed","Yes, I will vote","Registered","ages45to59"
"1164","0","Female","College Degree (such as B.A., B.S.)","FL","$60,000 to $64,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"1165","1","Female","Completed some high school","KS","$15,000 to $19,999","White","Midwest","Not in labor force","Not sure","Registered","ages30to44"
"1166","0","Female","Completed some college, but no degree","MO","$15,000 to $19,999","Black, or African American","Midwest","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1167","1","Male","Associate Degree","MI","$20,000 to $24,999","Other asian or pacific islander","Midwest","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1168","1","Male","Masters degree","NY","$175,000 to $199,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"1169","1","Male","Masters degree","TX","$150,000 to $174,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"1170","1","Male","Masters degree","NY","$150,000 to $174,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"1171","1","Female","High school graduate","IL","Less than $14,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1172","0","Female","College Degree (such as B.A., B.S.)","NY","$200,000 to $249,999","White","Northeast","Employed","Yes, I will vote","Registered","ages45to59"
"1173","0","Female","Completed some college, but no degree","OH","Less than $14,999","Black, or African American","Midwest","Employed","Yes, I will vote","Registered","ages18to29"
"1174","0","Female","College Degree (such as B.A., B.S.)","AL","$125,000 to $149,999","Other","South","Employed","Yes, I will vote","Registered","ages45to59"
"1175","1","Female","College Degree (such as B.A., B.S.)","MD","$35,000 to $39,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"1176","0","Male","Masters degree","KS","$150,000 to $174,999","White","Midwest","Employed","Yes, I will vote","Registered","ages30to44"
"1177","1","Male","Masters degree","VA","$250,000 and above","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"1178","0","Male","Completed some college, but no degree","NJ","$90,000 to $94,999","White","Northeast","Employed","Yes, I will vote","Registered","ages60plus"
"1179","0","Female","College Degree (such as B.A., B.S.)","CA","$95,000 to $99,999","White","West","Employed","Yes, I will vote","Registered","ages60plus"
"1180","0","Male","Masters degree","NY","$250,000 and above","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"1181","1","Female","College Degree (such as B.A., B.S.)","NJ","$20,000 to $24,999","White","Northeast","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1182","0","Male","College Degree (such as B.A., B.S.)","CT","$150,000 to $174,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"1183","1","Male","Masters degree","NY","$150,000 to $174,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"1184","1","Female","High school graduate","TN","$50,000 to $54,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"1185","0","Male","Masters degree","CA","$150,000 to $174,999","White","West","Employed","Yes, I will vote","Registered","ages30to44"
"1186","1","Female","College Degree (such as B.A., B.S.)","FL","$100,000 to $124,999","White","South","Employed","Yes, I will vote","Registered","ages60plus"
"1187","0","Female","High school graduate","NJ","$50,000 to $54,999","White","Northeast","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1188","1","Male","High school graduate","CA","$25,000 to $29,999","White","West","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages45to59"
"1189","0","Female","College Degree (such as B.A., B.S.)","NH","$35,000 to $39,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"1190","1","Female","College Degree (such as B.A., B.S.)","PA","$55,000 to $59,999","White","Northeast","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1191","0","Male","College Degree (such as B.A., B.S.)","CA","$50,000 to $54,999","White","West","Employed","Yes, I will vote","Registered","ages30to44"
"1192","1","Female","Associate Degree","NY","$15,000 to $19,999","White","Northeast","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1193","0","Male","Masters degree","PA","$150,000 to $174,999","White","Northeast","Employed","Yes, I will vote","Registered","ages60plus"
"1194","0","Female","High school graduate","CA","$45,000 to $49,999","Black, or African American","West","Employed","Yes, I will vote","Registered","ages18to29"
"1195","0","Male","Completed some college, but no degree","PA","$150,000 to $174,999","White","Northeast","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1196","0","Female","High school graduate","MO","$40,000 to $44,999","Black, or African American","Midwest","Employed","Yes, I will vote","Registered","ages45to59"
"1197","1","Male","Masters degree","NY","$95,000 to $99,999","Other","Northeast","Employed","Yes, I will vote","Registered","ages45to59"
"1198","0","Female","Associate Degree","OH","$75,000 to $79,999","White","Midwest","Employed","Yes, I will vote","Registered","ages18to29"
"1199","1","Male","Completed some high school","MO","Less than $14,999","White","Midwest","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages30to44"
"1200","1","Female","High school graduate","OH","Less than $14,999","White","Midwest","Not in labor force","Not sure","Registered","ages60plus"
"1201","0","Male","Masters degree","NY","$125,000 to $149,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"1202","1","Male","Completed some college, but no degree","OH","$75,000 to $79,999","White","Midwest","Employed","Yes, I will vote","Registered","ages45to59"
"1203","1","Male","College Degree (such as B.A., B.S.)","MA","$150,000 to $174,999","White","Northeast","Employed","Yes, I will vote","Registered","ages45to59"
"1204","0","Female","College Degree (such as B.A., B.S.)","TX","$55,000 to $59,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"1205","1","Male","Masters degree","IL","$250,000 and above","White","Midwest","Employed","Yes, I will vote","Registered","ages30to44"
"1206","0","Male","Completed some graduate, but no degree","MD","$90,000 to $94,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"1207","0","Male","College Degree (such as B.A., B.S.)","FL","$25,000 to $29,999","Black, or African American","South","Not in labor force","Yes, I will vote","Registered","ages18to29"
"1208","1","Female","High school graduate","OH","$30,000 to $34,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1209","1","Female","College Degree (such as B.A., B.S.)","NY","$65,000 to $69,999","White","Northeast","Employed","Yes, I will vote","Registered","ages45to59"
"1210","1","Male","College Degree (such as B.A., B.S.)","MI","$125,000 to $149,999","White","Midwest","Employed","Yes, I will vote","Registered","ages30to44"
"1211","0","Male","Completed some college, but no degree","NC","$100,000 to $124,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1212","0","Female","Associate Degree","NY","$60,000 to $64,999","Black, or African American","Northeast","Employed","Yes, I will vote","Registered","ages45to59"
"1213","0","Male","High school graduate","GA","$25,000 to $29,999","Black, or African American","South","Employed","Yes, I will vote","Registered","ages18to29"
"1214","1","Male","College Degree (such as B.A., B.S.)","AZ","$100,000 to $124,999","White","West","Employed","Yes, I will vote","Registered","ages45to59"
"1215","0","Male","Associate Degree","GA","$70,000 to $74,999","Black, or African American","South","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages45to59"
"1216","1","Male","Completed some college, but no degree","OH","$15,000 to $19,999","White","Midwest","Employed","Yes, I will vote","Registered","ages60plus"
"1217","0","Male","College Degree (such as B.A., B.S.)","NY","$75,000 to $79,999","Black, or African American","Northeast","Employed","Yes, I will vote","Registered","ages18to29"
"1218","1","Male","Masters degree","NY","$175,000 to $199,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"1219","0","Male","Doctorate degree","AL","$250,000 and above","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1220","1","Male","Masters degree","GA","$15,000 to $19,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"1221","0","Male","Completed some college, but no degree","WI","$70,000 to $74,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1222","0","Male","Associate Degree","NY","$15,000 to $19,999","White","Northeast","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1223","0","Male","Completed some college, but no degree","IL","$95,000 to $99,999","White","Midwest","Employed","Yes, I will vote","Registered","ages30to44"
"1224","0","Male","Masters degree","FL","$150,000 to $174,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"1225","0","Male","High school graduate","FL","$50,000 to $54,999","Black, or African American","South","Employed","Yes, I will vote","Registered","ages18to29"
"1226","1","Male","Completed some college, but no degree","MO","$40,000 to $44,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1227","1","Male","Other post high school vocational training","OH","$65,000 to $69,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1228","0","Male","Other post high school vocational training","PA","$30,000 to $34,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"1229","0","Male","High school graduate","AZ","$20,000 to $24,999","White","West","Not in labor force","Yes, I will vote","Registered","ages45to59"
"1230","1","Male","Completed some college, but no degree","NJ","$70,000 to $74,999","White","Northeast","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1231","0","Male","College Degree (such as B.A., B.S.)","FL","$100,000 to $124,999","Black, or African American","South","Employed","Yes, I will vote","Registered","ages60plus"
"1232","0","Male","Completed some graduate, but no degree","MI","$80,000 to $84,999","White","Midwest","Employed","Yes, I will vote","Registered","ages45to59"
"1233","0","Male","College Degree (such as B.A., B.S.)","NC","$125,000 to $149,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"1234","1","Male","College Degree (such as B.A., B.S.)","WI","$85,000 to $89,999","White","Midwest","Employed","Yes, I will vote","Registered","ages45to59"
"1235","1","Male","Completed some college, but no degree","FL","$65,000 to $69,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1236","1","Male","Completed some college, but no degree","GA","$50,000 to $54,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"1237","0","Male","Doctorate degree","TX","$250,000 and above","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"1238","0","Female","Associate Degree","IN","$25,000 to $29,999","Black, or African American","Midwest","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1239","0","Male","High school graduate","WI","$60,000 to $64,999","Other","Midwest","Employed","Yes, I will vote","Registered","ages45to59"
"1240","1","Male","Other post high school vocational training","AZ","$30,000 to $34,999","White","West","Employed","Yes, I will vote","Registered","ages60plus"
"1241","0","Female","College Degree (such as B.A., B.S.)","IA","$40,000 to $44,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1242","1","Male","College Degree (such as B.A., B.S.)","NH","$200,000 to $249,999","White","Northeast","Employed","Yes, I will vote","Registered","ages45to59"
"1243","1","Male","Completed some college, but no degree","CO","$55,000 to $59,999","White","West","Employed","Yes, I will vote","Registered","ages18to29"
"1244","1","Male","Associate Degree","IN","$15,000 to $19,999","White","Midwest","Employed","Yes, I will vote","Registered","ages45to59"
"1245","0","Female","Associate Degree","KY","$250,000 and above","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1246","1","Female","College Degree (such as B.A., B.S.)","MI","$95,000 to $99,999","White","Midwest","Employed","Yes, I will vote","Registered","ages30to44"
"1247","1","Female","College Degree (such as B.A., B.S.)","NJ","$70,000 to $74,999","Chinese","Northeast","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1248","0","Male","Completed some college, but no degree","CA","$85,000 to $89,999","White","West","Employed","Yes, I will vote","Registered","ages60plus"
"1249","0","Male","Completed some high school","TX","$15,000 to $19,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"1250","1","Male","College Degree (such as B.A., B.S.)","NY","$100,000 to $124,999","White","Northeast","Employed","Yes, I will vote","Registered","ages45to59"
"1251","0","Female","Masters degree","MN","$80,000 to $84,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1252","0","Female","Associate Degree","LA","$15,000 to $19,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1253","0","Female","Masters degree","GA","$125,000 to $149,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"1254","0","Male","College Degree (such as B.A., B.S.)","IL","$100,000 to $124,999","White","Midwest","Employed","Yes, I will vote","Registered","ages45to59"
"1255","1","Male","College Degree (such as B.A., B.S.)","FL","$125,000 to $149,999","White","South","Employed","Yes, I will vote","Registered","ages60plus"
"1256","0","Male","Completed some college, but no degree","CA","$55,000 to $59,999","Other","West","Employed","Yes, I will vote","Registered","ages18to29"
"1257","0","Male","College Degree (such as B.A., B.S.)","CA","$35,000 to $39,999","Chinese","West","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages30to44"
"1258","1","Male","Masters degree","CA","$150,000 to $174,999","White","West","Employed","Yes, I will vote","Registered","ages30to44"
"1259","0","Female","College Degree (such as B.A., B.S.)","CA","$95,000 to $99,999","Japanese","West","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages45to59"
"1260","0","Male","Completed some college, but no degree","NY","Less than $14,999","Other asian or pacific islander","Northeast","Employed","Yes, I will vote","Registered","ages18to29"
"1261","1","Male","College Degree (such as B.A., B.S.)","GA","$100,000 to $124,999","Other asian or pacific islander","South","Employed","Yes, I will vote","Registered","ages30to44"
"1262","0","Female","College Degree (such as B.A., B.S.)","WA","$30,000 to $34,999","White","West","Employed","Yes, I will vote","Registered","ages30to44"
"1263","1","Male","Doctorate degree","CA","$175,000 to $199,999","White","West","Employed","Yes, I will vote","Registered","ages30to44"
"1264","0","Female","High school graduate","AL","Less than $14,999","White","South","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages30to44"
"1265","0","Female","Completed some high school","NJ","$35,000 to $39,999","White","Northeast","Employed","Yes, I will vote","Registered","ages18to29"
"1266","0","Female","High school graduate","OH","Less than $14,999","Black, or African American","Midwest","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1267","1","Male","Other post high school vocational training","KY","$125,000 to $149,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1268","0","Female","Masters degree","NJ","$95,000 to $99,999","Black, or African American","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"1269","1","Male","Masters degree","IL","$200,000 to $249,999","White","Midwest","Employed","Yes, I will vote","Registered","ages30to44"
"1270","0","Female","Completed some high school","NY","$125,000 to $149,999","White","Northeast","Employed","Yes, I will vote","Registered","ages18to29"
"1271","1","Female","Completed some high school","ME","$55,000 to $59,999","White","Northeast","Employed","Yes, I will vote","Registered","ages60plus"
"1272","1","Female","High school graduate","OR","$50,000 to $54,999","White","West","Employed","Not sure","Registered","ages18to29"
"1273","0","Female","Completed some college, but no degree","TN","Less than $14,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1274","0","Female","Masters degree","VA","$175,000 to $199,999","White","South","Employed","Yes, I will vote","Registered","ages18to29"
"1275","0","Female","Masters degree","VA","$125,000 to $149,999","White","South","Not in labor force","Yes, I will vote","Registered","ages30to44"
"1276","1","Male","Associate Degree","NJ","$45,000 to $49,999","White","Northeast","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1277","0","Male","Completed some graduate, but no degree","CT","$100,000 to $124,999","White","Northeast","Employed","Yes, I will vote","Registered","ages60plus"
"1278","0","Male","High school graduate","NJ","$25,000 to $29,999","Black, or African American","Northeast","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages30to44"
"1279","0","Female","Doctorate degree","WI","$95,000 to $99,999","Black, or African American","Midwest","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1280","1","Male","Associate Degree","IA","$90,000 to $94,999","White","Midwest","Employed","Yes, I will vote","Registered","ages45to59"
"1281","1","Male","College Degree (such as B.A., B.S.)","AR","$125,000 to $149,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"1282","1","Female","Completed some college, but no degree","AR","$30,000 to $34,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1283","0","Female","Masters degree","NJ","$150,000 to $174,999","Black, or African American","Northeast","Employed","Yes, I will vote","Registered","ages45to59"
"1284","1","Female","Doctorate degree","CA","$50,000 to $54,999","White","West","Employed","Yes, I will vote","Registered","ages60plus"
"1285","0","Female","Other post high school vocational training","CA","$30,000 to $34,999","White","West","Employed","Yes, I will vote","Registered","ages60plus"
"1286","0","Male","College Degree (such as B.A., B.S.)","NJ","$175,000 to $199,999","White","Northeast","Employed","Yes, I will vote","Registered","ages45to59"
"1287","0","Male","Masters degree","PA","$250,000 and above","White","Northeast","Employed","Yes, I will vote","Registered","ages45to59"
"1288","1","Male","High school graduate","PA","$40,000 to $44,999","White","Northeast","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1289","0","Female","Masters degree","GA","$55,000 to $59,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"1290","0","Male","Masters degree","MD","$60,000 to $64,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1291","0","Female","College Degree (such as B.A., B.S.)","VA","$95,000 to $99,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"1292","1","Male","Masters degree","IL","$175,000 to $199,999","White","Midwest","Employed","Yes, I will vote","Registered","ages30to44"
"1293","1","Female","Completed some high school","TN","$35,000 to $39,999","White","South","Employed","Yes, I will vote","Registered","ages18to29"
"1294","1","Female","Associate Degree","NJ","$95,000 to $99,999","White","Northeast","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1295","1","Male","College Degree (such as B.A., B.S.)","TX","$150,000 to $174,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"1296","1","Female","Completed some graduate, but no degree","VA","$35,000 to $39,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1297","0","Male","Completed some high school","MS","$30,000 to $34,999","Other","South","Employed","Yes, I will vote","Registered","ages18to29"
"1298","1","Female","Associate Degree","TX","$25,000 to $29,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1299","1","Male","Masters degree","FL","$95,000 to $99,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"1300","0","Male","Completed some graduate, but no degree","VA","$95,000 to $99,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"1301","1","Female","High school graduate","ID","$55,000 to $59,999","White","West","Not in labor force","Yes, I will vote","Registered","ages60plus"
